date,nav_open,pnl_long,pnl_short,shadow_pnl_short,fees,rebate,financing,impact,recall_impact,n_recalls,n_reentries,n_reentry_failed,n_missing,n_short,n_long,short_notional,long_notional,fee_wavg,cash,margin_regt_initial,margin_regt_maint,margin_pm,nav,excess_equity_regt,excess_equity_pm
2019-06-28,500000000.0,0.0,0.0,0.0,12814.42991785789,33333.33333333334,-81.58782907671267,1000000.0,0.0,0,0,0,1,45,34,500000000.0000001,499999999.99999994,0.00922638954085768,-1012814.4299178123,500000000.0,275000000.0,150000000.0,499020437.3155864,224020437.3155864,349020437.3155864
2019-07-01,499020437.3155864,5160020.681737385,-2261572.7917428724,-2225798.090988749,12813.938442576684,33344.58742993987,-254.7568359395105,0.0,0.0,0,0,0,1,45,34,502261567.9823579,505079512.82209414,0.009184492968193098,-3173441.55495584,503670540.40222603,276948348.60023093,151101162.12066782,501939161.0977323,224990812.49750137,350837998.9770645
2019-07-02,501939161.0977323,3043147.0343335243,7819586.550097152,7838944.559712355,13283.91717629165,32962.799495815285,303.1618327145366,0.0,0.0,0,0,0,1,45,34,494441992.4372293,508043469.0355418,0.009671933728549782,4745141.729444921,501242730.7363855,275343464.99005425,150372819.22091565,512821876.7263152,237478411.73626095,362449057.5053996
2019-07-03,512821876.7263152,5781215.259780915,-3243729.6485919706,-3272374.453204713,11928.110191528755,33317.29403991158,102.72862477487266,0.0,0.0,0,0,0,1,45,34,497685720.0982643,513746468.6464055,0.008628175363565808,1600965.5809071064,505716094.3723349,277742333.19108063,151714828.31170046,515380854.2499773,237638521.05889666,363666025.9382768
2019-07-05,515380854.2499773,1051630.6317154574,486572.2363794097,550306.0562414638,12582.022097793679,33422.832354775186,135.8724385245306,0.0,0.0,0,0,0,1,45,34,497199158.99665564,514798109.67059374,0.009110087724899374,2108365.425380647,505998634.3336247,277859275.1166451,151799590.30008742,516940033.80076766,239080758.68412256,365140443.5006802
2019-07-08,516940033.80076766,-1839327.3325359595,5946705.213897508,5857039.52105775,11910.98662605612,32886.62293805937,518.2571186054975,0.0,0.0,0,0,0,1,45,34,491252458.82578313,512958766.37957335,0.00872861826611412,8076734.31592983,502105612.60267824,275615429.2426283,150631683.78080347,521068905.57555985,245453476.33293158,370437221.7947564
2019-07-09,521068905.57555985,3388298.6808687523,-4199206.757180381,-4264639.597778849,11894.228990831181,33167.735389642585,250.1876834287693,0.0,0.0,0,0,0,1,45,34,495451648.9739141,516347074.4376012,0.008642462782326258,3899028.832656145,505899361.7057576,277722263.3015745,151769808.51172727,520279521.1933304,242557257.89175588,368509712.68160313
2019-07-10,520279521.1933304,1065719.1149306425,-5418799.801607065,-5328859.754422642,11423.10502784628,33530.49418686456,-121.06975513484333,0.0,0.0,0,0,0,1,45,34,500870452.5838689,517412787.5682427,0.008210342192896816,-1497770.1666166186,509141620.0760558,279614332.66722137,152742486.02281675,515948426.82605785,236334094.15883648,363205940.80324113
2019-07-11,515948426.82605785,-2648906.5862063896,5905951.692151366,5851767.078154295,11517.70244777197,32997.633324120296,283.03233911934,0.0,0.0,0,0,0,1,45,34,494964499.8618045,514763882.83464366,0.008377111656200772,4430071.394911408,504864191.34822404,277180320.66720223,151459257.4044672,519227234.8952183,242046914.22801608,367767977.49075115
2019-07-12,519227234.8952183,431704.3190417666,-5229569.707222163,-4974215.176521468,11827.088773923311,33063.933546255925,-62.244058199272146,0.0,0.0,0,0,0,1,45,34,500126725.9097535,515195593.14575493,0.008513346194141786,-778050.727490902,507661159.5277542,278836916.0593648,152298347.85832626,514450544.1077521,235613628.0483873,362152196.2494258
2019-07-15,514450544.1077521,2079354.655623649,5744504.438856329,5594477.953004244,11747.010751819076,32958.81440673059,318.6593242393002,0.0,0.0,0,0,0,1,45,34,494382216.1009589,517274945.0294738,0.008553956297229087,4987711.162006438,505828580.5652163,277633401.08765614,151748574.16956487,522295933.6652112,244662532.57755506,370547359.49564636
2019-07-16,522295933.6652112,-2482140.0543275075,7124737.550662301,7055042.702562467,12253.992248486224,32619.18120575433,778.5635914557437,0.0,0.0,0,0,0,1,45,34,487257478.59218085,514792818.60115606,0.009053605954291114,12133458.56814146,501025148.5966685,274875448.22794324,150307544.57900053,526959674.91409475,252084226.6861515,376652130.3350942
2019-07-17,526959674.91409475,-705322.3020780717,4123590.973477923,4008178.577933405,12112.256480135926,32343.130459484033,1044.5268670078224,0.0,0.0,0,0,0,1,45,34,483133898.97984445,514087490.5444769,0.0090252667884744,16278340.784537494,498610694.76216066,273462042.3300726,149583208.4286482,530399218.98634094,256937176.65626836,380816010.55769277
2019-07-18,530399218.98634094,3347789.6171028716,50866.78527927765,176085.63748771092,12012.86941586723,32339.724696310852,1055.520031051337,0.0,0.0,0,0,0,1,45,34,483083024.5092078,517336199.6977279,0.008952152674182354,16449662.821579278,500209612.1034678,274258957.2771943,150062883.63104033,533819257.76403457,259560300.48684025,383756374.13299423
2019-07-19,533819257.76403457,-8699246.105417611,-959049.7627286541,-925866.1407580522,12334.327765900924,32394.742013579616,995.332785258161,0.0,0.0,0,0,0,1,45,34,483904859.9538864,508636947.7978654,0.009176097128157534,15511679.770257056,496270903.8758759,272330694.9356322,148881271.16276276,524182017.64292127,251851322.70728904,375300746.4801585
2019-07-22,524182017.64292127,2038670.7163729165,-2207582.6437730733,-2193473.3069158024,11811.627463868475,32407.497845421345,851.3614907644939,0.0,0.0,0,0,0,1,45,34,486112467.68132013,510675635.9717434,0.00874732941385953,13325658.116313815,498394051.82653177,273502649.29733187,149518215.54795954,524034552.9473934,250531903.65006155,374516337.39943385
2019-07-23,524034552.9473934,-1070241.293886487,-7372962.259457658,-7174240.831938479,11915.345697104956,32899.028260463856,383.83523800448773,0.0,0.0,0,0,0,1,45,34,493485423.9069578,509571578.1491515,0.008692302230524513,6007855.899200678,501528501.02805465,275438521.7093752,150458550.3084164,515612716.91185063,240174195.20247543,365154166.6034342
2019-07-24,515612716.91185063,3581169.6144570466,-8746366.279433345,-8984685.10459187,12330.34633297719,33482.12040130159,-218.9146870277991,0.0,0.0,0,0,0,1,45,34,502231806.01952386,513152751.5326106,0.008838398179224896,-2717561.63206923,507692278.77606726,278957729.6890098,152307683.63282016,510468453.10625565,231510723.41724586,358160769.4734355
2019-07-25,510468453.10625565,-6452195.77962766,18892921.25132845,18904213.221987307,11432.22240291578,32222.590141303088,1034.8205913697643,0.0,0.0,0,0,0,1,45,34,483338852.1195463,506700554.49063545,0.008514937392270197,16197191.864918053,495019703.3050909,271676794.25852275,148505910.99152726,522931003.7662862,251254209.50776345,374425092.77475893
2019-07-26,522931003.7662862,8213296.232685685,-2988803.285881078,-3174528.967735198,11904.226587672527,32421.84429400331,845.2335318567256,0.0,0.0,0,0,0,1,45,34,486327664.4100496,514913850.2487457,0.008812004508854651,13229742.237757444,500620757.3293977,274626761.88520133,150186227.1988193,528176859.56432897,253550097.67912763,377990632.3655096
2019-07-29,528176859.56432897,-3690062.3077680217,1232226.9144487171,1265492.8888665934,11769.451923399947,32339.696822191563,925.3332850434599,0.0,0.0,0,0,0,1,45,34,485095452.33287346,511223777.2140582,0.008734369023761823,14483477.505028069,498159614.7734659,273334580.0033766,149447884.43203977,525740519.74919355,252405939.74581695,376292635.3171538
2019-07-30,525740519.74919355,-1400208.8837175122,-10956937.367313657,-10943360.575640941,12123.663647716148,32932.36608229223,225.6708425077684,0.0,0.0,0,0,0,1,45,34,496052376.13494575,509823585.93482924,0.00879850419664252,3547663.8996854424,502937981.0348875,276271609.32419103,150881394.31046623,513404407.87143946,237132798.54724842,362523013.5609732
