accountingYearMonthNumber|symbolCode|issueName|issuerServicesGroupExchangeCode|marketClassCode|currentShortPositionQuantity|previousShortPositionQuantity|stockSplitFlag|averageDailyVolumeQuantity|daysToCoverQuantity|revisionFlag|changePercent|changePreviousNumber|settlementDate
20230414|A|Agilent Technologies Inc.|A|NYSE|5324152|4715116||1359776|3.92||12.92|609036|2023-04-14
20230414|AA|Alcoa Corporation|A|NYSE|7260151|5791069||4097477|1.77||25.37|1469082|2023-04-14
20230414|AAA|AXS First Priority CLO Bond ET|E|ARCA|3446|4690||664|5.19||-26.52|-1244|2023-04-14
20230414|AAALF|Aareal Bank AG AKT|S|OTC|2437|3902||0|999.99||-37.54|-1465|2023-04-14
20230414|AAAU|Goldman Sachs Physical Gold ET|H|BZX|545367|371940||2989589|1.00||46.63|173427|2023-04-14
20230414|AABB|Asia Broadband Inc Common Stoc|S|OTC|2836001|2984743||18513374|1.00||-4.98|-148742|2023-04-14
20230414|AABVF|Aberdeen International Inc Ord|S|OTC|30051|12253||4505|6.67||145.25|17798|2023-04-14
20230414|AAC|Ares Acquisition Corporation|A|NYSE|16075|24176||146135|1.00||-33.51|-8101|2023-04-14
20230414|AACAF|AAC Technologies Holdings Inc|S|OTC|886622|688961||7556|117.34||28.69|197661|2023-04-14
20230414|AACAY|AAC Technologies Holdings Inc|S|OTC|3426|0||22168|1.00||100.00|3426|2023-04-14
20230414|AACG|ATA Creativity Global American|R|NNM|12161|8342||13337|1.00||45.78|3819|2023-04-14
20230414|AACI|Armada Acquisition Corp. I Com|R|NNM|1766|1468||2387|1.00||20.30|298|2023-04-14
20230414|AACIU|Armada Acquisition Corp. I Uni|R|NNM|1|1||1|1.00||0.00|0|2023-04-14
20230414|AACIW|Armada Acquisition Corp. I War|R|NNM|921|923||1983|1.00||-0.22|-2|2023-04-14
20230414|AACTF|AURORA SOLAR TECHNOLOGIES INC|S|OTC|5|5||14008|1.00||0.00|0|2023-04-14
20230414|AACWS|Ares Acquisition Corporation R|A|NYSE|7038|12065||86903|1.00||-41.67|-5027|2023-04-14
20230414|AADI|Aadi Bioscience, Inc. Common S|R|SC|1132076|1557470||109950|10.30||-27.31|-425394|2023-04-14
20230414|AADR|AdvisorShares Dorsey Wright AD|R|NNM|6474|0||2261|2.86||100.00|6474|2023-04-14
20230414|AAFRF|Airtel Africa Plc Ordinary Sha|S|OTC|2641|3567||2325|1.14||-25.96|-926|2023-04-14
20230414|AAGEF|AAG ENERGY HLDGS LTD Ordinary|S|OTC|220000|147000||0|999.99||49.66|73000|2023-04-14
20230414|AAGFF|Aftermath Silver Ltd Ordinary|S|OTC|207551|89838||768164|1.00||131.03|117713|2023-04-14
20230414|AAGH|America Great Health Common St|S|OTC|2989|2989||124724|1.00||0.00|0|2023-04-14
20230414|AAGIY|AIA Group, Ltd. Sponsored Amer|S|OTC|39119|79960||324046|1.00||-51.08|-40841|2023-04-14
20230414|AAGRY|Astra Agro Lestari TBK PT Unsp|S|OTC|204|164||0|999.99||24.39|40|2023-04-14
20230414|AAHIF|Asahi Co Ltd Osaka Ordinary Sh|S|OTC|1600|1600||0|999.99||0.00|0|2023-04-14
20230414|AAIC|Arlington Asset Investment Cor|A|NYSE|51774|39236||61077|1.00||31.96|12538|2023-04-14
20230414|AAICPRB|Arlington Asset Investment Cor|A|NYSE|272|446||897|1.00||-39.01|-174|2023-04-14
20230414|AAICPRC|Arlington Asset Investment Cor|A|NYSE|1156|1514||1243|1.00||-23.65|-358|2023-04-14
20230414|AAIGF|AIA Group, Ltd. Ordinary Share|S|OTC|2874139|3544060||72796|39.48||-18.90|-669921|2023-04-14
20230414|AAIN|Arlington Asset Investment Cor|A|NYSE|67|254||1085|1.00||-73.62|-187|2023-04-14
20230414|AAIRF|American Aires Inc. Common Sha|S|OTC|1000|0||23451|1.00||100.00|1000|2023-04-14
20230414|AAL|American Airlines Group Inc. C|R|NNM|66281716|59495122||30073642|2.20||11.41|6786594|2023-04-14
20230414|AALBF|Aalberts Industries NV Ordinar|S|OTC|6310|7448||206|30.63||-15.28|-1138|2023-04-14
20230414|AAMAF|Atlas Mara Co Nvest Ltd. Ordin|S|OTC|53999|53999||20222|2.67||0.00|0|2023-04-14
20230414|AAMC|Altisource Asset Mgmt Corp|B|AMEX|36150|36237||8274|4.37||-0.24|-87|2023-04-14
20230414|AAME|Atlantic American Corporation|R|NNM|49189|56943||5228|9.41||-13.62|-7754|2023-04-14
20230414|AAMPRA|Apollo Asset Management, Inc.|A|NYSE|5412|86064||28484|1.00||-93.71|-80652|2023-04-14
20230414|AAMPRB|Apollo Asset Management, Inc.|A|NYSE|1969|10344||14493|1.00||-80.96|-8375|2023-04-14
20230414|AAMTF|Armada Mercantile Ltd Ordinary|S|OTC|5200|8900||22023|1.00||-41.57|-3700|2023-04-14
20230414|AAN|The Aaron's Company, Inc.|A|NYSE|1757709|1813262||374385|4.69||-3.06|-55553|2023-04-14
20230414|AANNF|Aroundtown SA Ordinary Shares|S|OTC|7266385|6282795||19874|365.62||15.66|983590|2023-04-14
20230414|AAOI|Applied Optoelectronics, Inc.|R|NNM|3089235|3084436||97823|31.58||0.16|4799|2023-04-14
20230414|AAON|AAON, Inc. Common Stock|R|NNM|1224479|1202996||354160|3.46||1.79|21483|2023-04-14
20230414|AAP|ADVANCE AUTO PARTS INC|A|NYSE|2211665|2177837||1093775|2.02||1.55|33828|2023-04-14
20230414|AAPB|GraniteShares ETF Trust Granit|R|NNM|415|307||7689|1.00||35.18|108|2023-04-14
20230414|AAPD|Direxion Shares ETF Trust Dire|R|NNM|32701|21974||221406|1.00||48.82|10727|2023-04-14
20230414|AAPJ|AAP, Inc. Common Stock|S|OTC|130482|0||7295658|1.00||100.00|130482|2023-04-14
20230414|AAPL|Apple Inc. Common Stock|R|NNM|114987957|111566048||51432368|2.24||3.07|3421909|2023-04-14
20230414|AAPT|All American Pet Company, Inc.|S|OTC|324000|0||2029711|1.00||100.00|324000|2023-04-14
20230414|AAPU|Direxion Shares ETF Trust Dire|R|NNM|42287|29096||119636|1.00||45.34|13191|2023-04-14
20230414|AASZF|Atlantic Sapphire AS Common Sh|S|OTC|19386|20133||6139|3.16||-3.71|-747|2023-04-14
20230414|AAT|AMERICAN ASSETS TRUST, INC.|A|NYSE|2067668|2180555||512040|4.04||-5.18|-112887|2023-04-14
20230414|AATC|Autoscope Technologies Corpora|S|OTC|351|351||10672|1.00||0.00|0|2023-04-14
20230414|AATGF|ATI Airtest Technologies Inc O|S|OTC|20606|20606||36778|1.00||0.00|0|2023-04-14
20230414|AATRL|AMG Capital  Trust II 5.15% Co|S|OTC|80|80||1154|1.00||0.00|0|2023-04-14
20230414|AATV|Adaptive Ad Systems, Inc. NEW|S|OTC|2043|2043||2378|1.00||0.00|0|2023-04-14
20230414|AAU|Almaden Minerals Ltd.|B|AMEX|108548|169196||221665|1.00||-35.84|-60648|2023-04-14
20230414|AAUGF|ANGOLD RES LTD COM (Canada)|S|OTC|11146|793||157911|1.00||1305.55|10353|2023-04-14
20230414|AAUKF|Anglo American plc Ordinary Sh|S|OTC|47429|38736||2800|16.94||22.44|8693|2023-04-14
20230414|AAVMY|Abn Amro BK N V Amsterdam Brh|S|OTC|1510|34190||25359|1.00||-95.58|-32680|2023-04-14
