accountingYearMonthNumber|symbolCode|issueName|issuerServicesGroupExchangeCode|marketClassCode|currentShortPositionQuantity|previousShortPositionQuantity|stockSplitFlag|averageDailyVolumeQuantity|daysToCoverQuantity|revisionFlag|changePercent|changePreviousNumber|settlementDate
20210813|A|Agilent Technologies Inc.|A|NYSE|3890515|3344717||1503222|2.59||16.32|545798|2021-08-13
20210813|AA|Alcoa Corporation|A|NYSE|12320038|12014472||6635761|1.86||2.54|305566|2021-08-13
20210813|AAA|AAF First Priority CLO Bond ET|E|ARCA|5505|6424||310|17.76||-14.31|-919|2021-08-13
20210813|AAALF|Aareal Bank AG AKT|S|OTC|346818|384993||200|999.99||-9.92|-38175|2021-08-13
20210813|AAALY|Aareal Bank AG Unsponsored Ame|S|OTC|3|3||0|999.99||0.00|0|2021-08-13
20210813|AAAU|Goldman Sachs Physical Gold ET|E|ARCA|330363|340461||351861|1.00||-2.97|-10098|2021-08-13
20210813|AABB|Asia Broadband Inc Common Stoc|S|OTC|787756|73663||42556213|1.00||969.41|714093|2021-08-13
20210813|AABVF|Aberdeen International Inc Ord|S|OTC|9673|7708||13928|1.00||25.49|1965|2021-08-13
20210813|AAC|Ares Acquisition Corporation|A|NYSE|90707|69421||56232|1.61||30.66|21286|2021-08-13
20210813|AACAF|AAC Technologies Holdings Inc|S|OTC|1212550|1390778||4902|247.36||-12.81|-178228|2021-08-13
20210813|AACAY|AAC Technologies Holdings Inc|S|OTC|64550|63545||226085|1.00||1.58|1005|2021-08-13
20210813|AACG|ATA Creativity Global American|R|NNM|60466|83848||95809|1.00||-27.89|-23382|2021-08-13
20210813|AACS|American Commerce Solutions, I|S|OTC|29712|0||5335291|1.00||100.00|29712|2021-08-13
20210813|AACTF|AURORA SOLAR TECHNOLOGIES INC|S|OTC|10688|0||158884|1.00||100.00|10688|2021-08-13
20210813|AACU|Ares Acquisition Corporation U|A|NYSE|1670|111982||438277|1.00||-98.51|-110312|2021-08-13
20210813|AACWS|Ares Acquisition Corporation R|A|NYSE|16606|14547||71577|1.00||14.15|2059|2021-08-13
20210813|AADR|AdvisorShares Dorsey Wright AD|R|NNM|59|59||2315|1.00||0.00|0|2021-08-13
20210813|AAEEF|Altair Res Inc Common Shares|S|OTC|2100|0||1640|1.28||100.00|2100|2021-08-13
20210813|AAGFF|Aftermath Silver Ltd Ordinary|S|OTC|20536|11178||352124|1.00||83.72|9358|2021-08-13
20210813|AAGH|America Great Health Common St|S|OTC|501|95||83346|1.00||427.37|406|2021-08-13
20210813|AAGIY|AIA Group, Ltd. Sponsored Amer|S|OTC|502318|384680||435506|1.15||30.58|117638|2021-08-13
20210813|AAGRY|Astra Agro Lestari TBK PT Unsp|S|OTC|612|612||7|87.43||0.00|0|2021-08-13
20210813|AAHIF|Asahi Co Ltd Osaka Ordinary Sh|S|OTC|800|2100||0|999.99||-61.90|-1300|2021-08-13
