accountingYearMonthNumber|symbolCode|issueName|issuerServicesGroupExchangeCode|marketClassCode|currentShortPositionQuantity|previousShortPositionQuantity|stockSplitFlag|averageDailyVolumeQuantity|daysToCoverQuantity|revisionFlag|changePercent|changePreviousNumber|settlementDate
20200228|A|Agilent Technologies Inc.|A|NYSE|5029326|4724925||2974418|1.69||6.44|304401|2020-02-28
20200228|AA|Alcoa Corporation|A|NYSE|11017278|10029814||6164529|1.79||9.85|987464|2020-02-28
20200228|AAALF|Aareal Bank AG AKT|S|OTC|32577|77324||0|999.99||-57.87|-44747|2020-02-28
20200228|AAAU|Perth Mint Physical Gold ETF (|E|ARCA|4042|80787||154927|1.00||-95.00|-76745|2020-02-28
20200228|AACAF|AAC Technologies Holdings Inc|S|OTC|10720180|10599014||716|999.99||1.14|121166|2020-02-28
20200228|AACAY|AAC Technologies Holdings Inc|S|OTC|16874|11088||99000|1.00||52.18|5786|2020-02-28
20200228|AACG|ATA Creativity Global American|R|NNM|38093|28609||51547|1.00||33.15|9484|2020-02-28
20200228|AACH|AAC HLDGS INC Common Stock|S|OTC|675007|1394833||212519|3.18||-51.61|-719826|2020-02-28
20200228|AACMZ|Asia Cement Corp Global Deposi|S|OTC|5225|1||0|999.99||522400.00|5224|2020-02-28
20200228|AACTF|AURORA SOLAR TECHNOLOGIES INC|S|OTC|2350|2550||18908|1.00||-7.84|-200|2020-02-28
20200228|AADR|AdvisorShares Dorsey Wright AD|E|ARCA|10589|3739||10839|1.00||183.20|6850|2020-02-28
20200228|AAGFF|Aftermath Silver Ltd Ordinary|S|OTC|4148|11587||559661|1.00||-64.20|-7439|2020-02-28
20200228|AAGH|America Great Health Common St|S|OTC|11282|0||39578|1.00||100.00|11282|2020-02-28
20200228|AAGIY|AIA Group, Ltd. Sponsored Amer|S|OTC|219151|744066||411090|1.00||-70.55|-524915|2020-02-28
20200228|AAGRY|Astra Agro Lestari TBK PT Unsp|S|OTC|1|1||0|999.99||0.00|0|2020-02-28
20200228|AAHIF|Asahi Co Ltd Osaka Ordinary Sh|S|OTC|59900|2900||0|999.99||1965.52|57000|2020-02-28
20200228|AAIGF|AIA Group, Ltd. Ordinary Share|S|OTC|253998|424480||13731|18.50||-40.16|-170482|2020-02-28
20200228|AAIRF|American Aires Inc. Common Sha|S|OTC|2245|2245||1847|1.22||0.00|0|2020-02-28
20200228|AAL|American Airlines Group Inc. C|R|NNM|45618695|31123103||19186751|2.38||46.58|14495592|2020-02-28
20200228|AALBF|Aalberts Industries NV Ordinar|S|OTC|5155|7360||0|999.99||-29.96|-2205|2020-02-28
20200228|AAMAF|Atlas Mara Co Nvest Ltd. Ordin|S|OTC|8206|9915||33838|1.00||-17.24|-1709|2020-02-28
20200228|AAMC|Altisource Asset Mgmt Corp|B|AMEX|18518|24099||26164|1.00||-23.16|-5581|2020-02-28
