accountingYearMonthNumber|symbolCode|issueName|issuerServicesGroupExchangeCode|marketClassCode|currentShortPositionQuantity|previousShortPositionQuantity|stockSplitFlag|averageDailyVolumeQuantity|daysToCoverQuantity|revisionFlag|changePercent|changePreviousNumber|settlementDate
20230113|A|Agilent Technologies Inc.|A|NYSE|3367567|3272951||1403270|2.40||2.89|94616|2023-01-13
20230113|AA|Alcoa Corporation|A|NYSE|6909999|6111842||4711187|1.47||13.06|798157|2023-01-13
20230113|AAA|AXS First Priority CLO Bond ET|E|ARCA|3044|11411||617|4.93||-73.32|-8367|2023-01-13
20230113|AAALF|Aareal Bank AG AKT|S|OTC|1302|1302||0|999.99||0.00|0|2023-01-13
20230113|AAAU|Goldman Sachs Physical Gold ET|H|BZX|336894|479958||499133|1.00||-29.81|-143064|2023-01-13
20230113|AABB|Asia Broadband Inc Common Stoc|S|OTC|3759168|3754715||11888959|1.00||0.12|4453|2023-01-13
20230113|AABVF|Aberdeen International Inc Ord|S|OTC|1277|301||37834|1.00||324.25|976|2023-01-13
20230113|AAC|Ares Acquisition Corporation|A|NYSE|15971|726310||1243385|1.00||-97.80|-710339|2023-01-13
20230113|AACAF|AAC Technologies Holdings Inc|S|OTC|775917|1224417||3889|199.52||-36.63|-448500|2023-01-13
20230113|AACAY|AAC Technologies Holdings Inc|S|OTC|24165|256185||41686|1.00||-90.57|-232020|2023-01-13
20230113|AACG|ATA Creativity Global American|R|NNM|10184|3015||3611|2.82||237.78|7169|2023-01-13
20230113|AACI|Armada Acquisition Corp. I Com|R|NNM|13109|10519||90455|1.00||24.62|2590|2023-01-13
20230113|AACIU|Armada Acquisition Corp. I Uni|R|NNM|847|1277||236|3.59||-33.67|-430|2023-01-13
20230113|AACIW|Armada Acquisition Corp. I War|R|NNM|1000|2655||144253|1.00||-62.34|-1655|2023-01-13
20230113|AACTF|AURORA SOLAR TECHNOLOGIES INC|S|OTC|5|43640||414705|1.00||-99.99|-43635|2023-01-13
20230113|AACWS|Ares Acquisition Corporation R|A|NYSE|3389|4111||0|999.99||-17.56|-722|2023-01-13
20230113|AADI|Aadi Bioscience, Inc. Common S|R|SC|1036144|1180633||76028|13.63||-12.24|-144489|2023-01-13
20230113|AADR|AdvisorShares Dorsey Wright AD|R|NNM|1060|0||1521|1.00||100.00|1060|2023-01-13
20230113|AAFRF|Airtel Africa Plc Ordinary Sha|S|OTC|10720|0||12871|1.00||100.00|10720|2023-01-13
20230113|AAGEF|AAG ENERGY HLDGS LTD Ordinary|S|OTC|147000|147000||0|999.99||0.00|0|2023-01-13
20230113|AAGFF|Aftermath Silver Ltd Ordinary|S|OTC|70787|130564||314226|1.00||-45.78|-59777|2023-01-13
20230113|AAGIY|AIA Group, Ltd. Sponsored Amer|S|OTC|100969|259136||520280|1.00||-61.04|-158167|2023-01-13
20230113|AAGRY|Astra Agro Lestari TBK PT Unsp|S|OTC|304|4||67|4.54||7500.00|300|2023-01-13
20230113|AAHIF|Asahi Co Ltd Osaka Ordinary Sh|S|OTC|23300|24500||0|999.99||-4.90|-1200|2023-01-13
20230113|AAIC|Arlington Asset Investment Cor|A|NYSE|13064|12104||76460|1.00||7.93|960|2023-01-13
20230113|AAICPRB|Arlington Asset Investment Cor|A|NYSE|528|531||0|999.99||-0.56|-3|2023-01-13
20230113|AAICPRC|Arlington Asset Investment Cor|A|NYSE|200|456||0|999.99||-56.14|-256|2023-01-13
20230113|AAIGF|AIA Group, Ltd. Ordinary Share|S|OTC|3363429|3094477||239923|14.02||8.69|268952|2023-01-13
20230113|AAIN|Arlington Asset Investment Cor|A|NYSE|100|100||1263|1.00||0.00|0|2023-01-13
20230113|AAL|American Airlines Group Inc. C|R|NNM|89509418|89809671||38875971|2.30||-0.33|-300253|2023-01-13
20230113|AALBF|Aalberts Industries NV Ordinar|S|OTC|2617|2953||73|35.85||-11.38|-336|2023-01-13
20230113|AAMAF|Atlas Mara Co Nvest Ltd. Ordin|S|OTC|53999|53999||0|999.99||0.00|0|2023-01-13
20230113|AAMC|Altisource Asset Mgmt Corp|B|AMEX|2072|2811||8119|1.00||-26.29|-739|2023-01-13
20230113|AAME|Atlantic American Corporation|R|NNM|49140|56350||3529|13.92||-12.80|-7210|2023-01-13
20230113|AAMPRA|Apollo Asset Management, Inc.|A|NYSE|7608|21068||0|999.99||-63.89|-13460|2023-01-13
20230113|AAMPRB|Apollo Asset Management, Inc.|A|NYSE|13635|11640||0|999.99||17.14|1995|2023-01-13
20230113|AAN|The Aaron's Company, Inc.|A|NYSE|1955786|1960577||272085|7.19||-0.24|-4791|2023-01-13
20230113|AANNF|Aroundtown SA Ordinary Shares|S|OTC|9888383|12316912||0|999.99||-19.72|-2428529|2023-01-13
20230113|AAOI|Applied Optoelectronics, Inc.|R|NNM|3329784|3343795||153587|21.68||-0.42|-14011|2023-01-13
20230113|AAON|AAON, Inc. Common Stock|R|NNM|608574|603914||176056|3.46||0.77|4660|2023-01-13
