accountingYearMonthNumber|symbolCode|issueName|issuerServicesGroupExchangeCode|marketClassCode|currentShortPositionQuantity|previousShortPositionQuantity|stockSplitFlag|averageDailyVolumeQuantity|daysToCoverQuantity|revisionFlag|changePercent|changePreviousNumber|settlementDate
20210129|A|Agilent Technologies Inc.|A|NYSE|2272817|2266746||1446062|1.57||0.27|6071|2021-01-29
20210129|AA|Alcoa Corporation|A|NYSE|11147506|8761436||8381441|1.33||27.23|2386070|2021-01-29
20210129|AAA|AAF First Priority CLO Bond ET|E|ARCA|5441|2673||1034|5.26||103.55|2768|2021-01-29
20210129|AAALF|Aareal Bank AG AKT|S|OTC|173727|15507||0|999.99||1020.31|158220|2021-01-29
20210129|AAAU|Goldman Sachs Physical Gold ET|E|ARCA|49516|113104||1145600|1.00||-56.22|-63588|2021-01-29
20210129|AABB|Asia Broadband Inc Common Stoc|S|OTC|523252|287083||83419015|1.00||82.27|236169|2021-01-29
20210129|AABVF|Aberdeen International Inc Ord|S|OTC|81935|3360||39244|2.09||2338.54|78575|2021-01-29
20210129|AACAF|AAC Technologies Holdings Inc|S|OTC|20178589|20824133||56|999.99||-3.10|-645544|2021-01-29
20210129|AACAY|AAC Technologies Holdings Inc|S|OTC|21882|71964||225501|1.00||-69.59|-50082|2021-01-29
20210129|AACG|ATA Creativity Global American|R|NNM|3129|1193||60947|1.00||162.28|1936|2021-01-29
20210129|AACMZ|Asia Cement Corp Global Deposi|S|OTC|4965|4965||0|999.99||0.00|0|2021-01-29
20210129|AACQ|Artius Acquisition Inc. Class|R|SC|459051|310161||1502473|1.00||48.00|148890|2021-01-29
20210129|AACQU|Artius Acquisition Inc. Unit|R|SC|1183|877||121174|1.00||34.89|306|2021-01-29
20210129|AACQW|Artius Acquisition Inc Warrant|R|SC|58014|23271||503284|1.00||149.30|34743|2021-01-29
20210129|AACTF|AURORA SOLAR TECHNOLOGIES INC|S|OTC|69045|2490||829349|1.00||2672.89|66555|2021-01-29
20210129|AADR|AdvisorShares Dorsey Wright AD|E|ARCA|2502|3979||5120|1.00||-37.12|-1477|2021-01-29
20210129|AAGC|All American Gold Corp. Common|S|OTC|1241|0||15046658|1.00||100.00|1241|2021-01-29
20210129|AAGFF|Aftermath Silver Ltd Ordinary|S|OTC|8483|6514||871504|1.00||30.23|1969|2021-01-29
20210129|AAGH|America Great Health Common St|S|OTC|145|0||1404488|1.00||100.00|145|2021-01-29
20210129|AAGIY|AIA Group, Ltd. Sponsored Amer|S|OTC|133337|261505||474463|1.00||-49.01|-128168|2021-01-29
20210129|AAGRY|Astra Agro Lestari TBK PT Unsp|S|OTC|10|10||0|999.99||0.00|0|2021-01-29
20210129|AAHIF|Asahi Co Ltd Osaka Ordinary Sh|S|OTC|3500|2800||0|999.99||25.00|700|2021-01-29
20210129|AAIC|Arlington Asset Investment Cor|A|NYSE|937487|913933||156029|6.01||2.58|23554|2021-01-29
20210129|AAICPRB|Arlington Asset Investment Cor|A|NYSE|1556|2387||532|2.92||-34.81|-831|2021-01-29
20210129|AAICPRC|Arlington Asset Investment Cor|A|NYSE|2805|3456||2228|1.26||-18.84|-651|2021-01-29
20210129|AAIGF|AIA Group, Ltd. Ordinary Share|S|OTC|4245146|3462297||54197|78.33||22.61|782849|2021-01-29
20210129|AAIRF|American Aires Inc. Common Sha|S|OTC|12946|100||46158|1.00||12846.00|12846|2021-01-29
20210129|AAL|American Airlines Group Inc. C|R|NNM|97372491|152632087||86164326|1.13||-36.20|-55259596|2021-01-29
20210129|AALBF|Aalberts Industries NV Ordinar|S|OTC|28977|12962||22|999.99||123.55|16015|2021-01-29
20210129|AAMAF|Atlas Mara Co Nvest Ltd. Ordin|S|OTC|3382|373||16950|1.00||806.70|3009|2021-01-29
20210129|AAMC|Altisource Asset Mgmt Corp|B|AMEX|5612|6033||2809|2.00||-6.98|-421|2021-01-29
20210129|AAME|Atlantic American Corporation|R|NNM|1611|542||10291|1.00||197.23|1069|2021-01-29
