accountingYearMonthNumber|symbolCode|issueName|issuerServicesGroupExchangeCode|marketClassCode|currentShortPositionQuantity|previousShortPositionQuantity|stockSplitFlag|averageDailyVolumeQuantity|daysToCoverQuantity|revisionFlag|changePercent|changePreviousNumber|settlementDate
20221230|A|Agilent Technologies Inc.|A|NYSE|3272951|3098596||1167457|2.80||5.63|174355|2022-12-30
20221230|AA|Alcoa Corporation|A|NYSE|6111842|6540401||3875830|1.58||-6.55|-428559|2022-12-30
20221230|AAA|AXS First Priority CLO Bond ET|E|ARCA|11411|5443||1085|10.52||109.65|5968|2022-12-30
20221230|AAALF|Aareal Bank AG AKT|S|OTC|1302|1402||0|999.99||-7.13|-100|2022-12-30
20221230|AAAU|Goldman Sachs Physical Gold ET|H|BZX|479958|315348||414089|1.16||52.20|164610|2022-12-30
20221230|AABB|Asia Broadband Inc Common Stoc|S|OTC|3754715|3997319||15555629|1.00||-6.07|-242604|2022-12-30
20221230|AABVF|Aberdeen International Inc Ord|S|OTC|301|301||15057|1.00||0.00|0|2022-12-30
20221230|AAC|Ares Acquisition Corporation|A|NYSE|726310|621180||519188|1.40||16.92|105130|2022-12-30
20221230|AACAF|AAC Technologies Holdings Inc|S|OTC|1224417|1345454||134|999.99||-9.00|-121037|2022-12-30
20221230|AACAY|AAC Technologies Holdings Inc|S|OTC|256185|271952||54880|4.67||-5.80|-15767|2022-12-30
20221230|AACG|ATA Creativity Global American|R|NNM|3015|10399||10493|1.00||-71.01|-7384|2022-12-30
20221230|AACI|Armada Acquisition Corp. I Com|R|NNM|10519|9786||5322|1.98||7.49|733|2022-12-30
20221230|AACIU|Armada Acquisition Corp. I Uni|R|NNM|1277|431||49|26.06||196.29|846|2022-12-30
20221230|AACIW|Armada Acquisition Corp. I War|R|NNM|2655|2855||6840|1.00||-7.01|-200|2022-12-30
20221230|AACTF|AURORA SOLAR TECHNOLOGIES INC|S|OTC|43640|54071||55665|1.00||-19.29|-10431|2022-12-30
20221230|AACU|Ares Acquisition Corporation U|A|NYSE|97694|19050||8066|12.11||412.83|78644|2022-12-30
20221230|AACWS|Ares Acquisition Corporation R|A|NYSE|4111|8065||0|999.99||-49.03|-3954|2022-12-30
20221230|AADI|Aadi Bioscience, Inc. Common S|R|SC|1180633|1054646||80428|14.68||11.95|125987|2022-12-30
20221230|AAGC|All American Gold Corp. Common|S|OTC|1|0||5577590|1.00||100.00|1|2022-12-30
20221230|AAGEF|AAG ENERGY HLDGS LTD Ordinary|S|OTC|147000|147000||0|999.99||0.00|0|2022-12-30
20221230|AAGFF|Aftermath Silver Ltd Ordinary|S|OTC|130564|55106||260623|1.00||136.93|75458|2022-12-30
