accountingYearMonthNumber|symbolCode|issueName|issuerServicesGroupExchangeCode|marketClassCode|currentShortPositionQuantity|previousShortPositionQuantity|stockSplitFlag|averageDailyVolumeQuantity|daysToCoverQuantity|revisionFlag|changePercent|changePreviousNumber|settlementDate
20191129|A|Agilent Technologies Inc.|A|NYSE|5418151|5561211||2247182|2.41||-2.57|-143060|2019-11-29
20191129|AA|Alcoa Corporation|A|NYSE|8637022|8242303||2719775|3.18||4.79|394719|2019-11-29
20191129|AAALF|Aareal Bank AG AKT|S|OTC|85979|65810||0|999.99||30.65|20169|2019-11-29
20191129|AAAU|Perth Mint Physical Gold ETF (|E|ARCA|39412|5328||36385|1.08||639.71|34084|2019-11-29
20191129|AABB|Asia Broadband Inc Common Stoc|S|OTC|20000|0||4990254|1.00||100.00|20000|2019-11-29
20191129|AACAF|AAC Technologies Holdings Inc|S|OTC|14513641|14527371||113|999.99||-0.09|-13730|2019-11-29
20191129|AACAY|AAC Technologies Holdings Inc|S|OTC|14719|5696||59212|1.00||158.41|9023|2019-11-29
20191129|AACG|ATA Creativity Global American|R|NNM|26050|30851||15223|1.71||-15.56|-4801|2019-11-29
20191129|AACH|AAC HLDGS INC Common Stock|S|OTC|1880863|2046907||69321|27.13||-8.11|-166044|2019-11-29
20191129|AACMZ|Asia Cement Corp Global Deposi|S|OTC|1|1||0|999.99||0.00|0|2019-11-29
20191129|AACTF|AURORA SOLAR TECHNOLOGIES INC|S|OTC|7961|0||17049|1.00||100.00|7961|2019-11-29
20191129|AADR|AdvisorShares Dorsey Wright AD|E|ARCA|2946|2223||6294|1.00||32.52|723|2019-11-29
20191129|AAGH|America Great Health Common St|S|OTC|660|0||62729|1.00||100.00|660|2019-11-29
20191129|AAGIY|AIA Group, Ltd. Sponsored Amer|S|OTC|460107|347978||337210|1.36||32.22|112129|2019-11-29
20191129|AAGRY|Astra Agro Lestari TBK PT Unsp|S|OTC|1|1||0|999.99||0.00|0|2019-11-29
20191129|AAHIF|Asahi Co Ltd Osaka Ordinary Sh|S|OTC|500|16400||0|999.99||-96.95|-15900|2019-11-29
20191129|AAIGF|AIA Group, Ltd. Ordinary Share|S|OTC|745363|494170||13095|56.92||50.83|251193|2019-11-29
20191129|AAL|American Airlines Group Inc. C|R|NNM|40625178|38265398||5511377|7.37||6.17|2359780|2019-11-29
20191129|AALBF|Aalberts Industries NV Ordinar|S|OTC|54294|54294||2|999.99||0.00|0|2019-11-29
20191129|AAMAF|Atlas Mara Co Nvest Ltd. Ordin|S|OTC|7515|7418||1145|6.56||1.31|97|2019-11-29
20191129|AAMC|Altisource Asset Mgmt Corp|B|AMEX|20389|22375||1756|11.61||-8.88|-1986|2019-11-29
20191129|AAME|Atlantic American Corporation|R|NNM|716|390||3565|1.00||83.59|326|2019-11-29
20191129|AAMMF|Almadex Minerals Ltd Ordinary|S|OTC|3911|11||47192|1.00||35454.55|3900|2019-11-29
20191129|AAN|Aaron's, Inc.|A|NYSE|3638881|3407900||695199|5.23||6.78|230981|2019-11-29
20191129|AANNF|Aroundtown SA Ordinary Shares|S|OTC|2287688|1254622||0|999.99||82.34|1033066|2019-11-29
20191129|AAOI|Applied Optoelectronics, Inc.|R|NNM|7972316|8134229||473390|16.84||-1.99|-161913|2019-11-29
20191129|AAON|AAON, Inc. Common Stock|R|NNM|4845401|4932959||159223|30.43||-1.77|-87558|2019-11-29
20191129|AAP|ADVANCE AUTO PARTS INC|A|NYSE|2730699|2802394||761958|3.58||-2.56|-71695|2019-11-29
20191129|AAPL|Apple Inc. Common Stock|R|NNM|63489595|46016361||21052135|3.02||37.97|17473234|2019-11-29
20191129|AASP|All-American SportPark, Inc. C|S|OTC|25|25||423|1.00||0.00|0|2019-11-29
20191129|AASZF|Atlantic Sapphire AS Common Sh|S|OTC|24967|39393||4604|5.42||-36.62|-14426|2019-11-29
20191129|AAT|AMERICAN ASSETS TRUST, INC.|A|NYSE|729971|913403||267085|2.73||-20.08|-183432|2019-11-29
20191129|AATDF|AA LTD Ordinary Shares (United|S|OTC|294487|440564||9889|29.78||-33.16|-146077|2019-11-29
20191129|AATRL|AMG Capital  Trust II 5.15% Co|S|OTC|12458|10168||5333|2.34||22.52|2290|2019-11-29
20191129|AAU|Almaden Minerals Ltd.|B|AMEX|1716078|1702766||174088|9.86||0.78|13312|2019-11-29
20191129|AAUKF|Anglo American plc Ordinary Sh|S|OTC|9840317|9819785||1639|999.99||0.21|20532|2019-11-29
20191129|AAVMY|Abn Amro BK N V Amsterdam Brh|S|OTC|1680|8459||600281|1.00||-80.14|-6779|2019-11-29
20191129|AAVVF|Advantage Oil & Gas Ltd Ordina|S|OTC|5377827|5137800||62542|85.99||4.67|240027|2019-11-29
20191129|AAWW|Atlas Air Worldwide Holdings N|R|NNM|2221445|2323276||275983|8.05||-4.38|-101831|2019-11-29
20191129|AAXJ|iShares MSCI All Country Asia|R|NNM|937016|2615629||693719|1.35||-64.18|-1678613|2019-11-29
20191129|AAXN|Axon Enterprise, Inc. Common S|R|NNM|8738902|9497458||863681|10.12||-7.99|-758556|2019-11-29
20191129|AB|AllianceBernstein Holding, L.P|A|NYSE|1220626|1218657||174311|7.00||0.16|1969|2019-11-29
20191129|ABAHF|Abacus Health Products Inc Com|S|OTC|40552|984||38314|1.06||4021.14|39568|2019-11-29
