accountingYearMonthNumber|symbolCode|issueName|issuerServicesGroupExchangeCode|marketClassCode|currentShortPositionQuantity|previousShortPositionQuantity|stockSplitFlag|averageDailyVolumeQuantity|daysToCoverQuantity|revisionFlag|changePercent|changePreviousNumber|settlementDate
20230428|A|Agilent Technologies Inc.|A|NYSE|4842547|5324152||1554579|3.12||-9.05|-481605|2023-04-28
20230428|AA|Alcoa Corporation|A|NYSE|5812324|7260151||5493653|1.06||-19.94|-1447827|2023-04-28
20230428|AAA|AXS First Priority CLO Bond ET|E|ARCA|4082|3446||576|7.09||18.46|636|2023-04-28
20230428|AAALF|Aareal Bank AG AKT|S|OTC|3437|2437||0|999.99||41.03|1000|2023-04-28
20230428|AAAU|Goldman Sachs Physical Gold ET|H|BZX|330006|545367||2253914|1.00||-39.49|-215361|2023-04-28
20230428|AABB|Asia Broadband Inc Common Stoc|S|OTC|3010443|2836001||9436217|1.00||6.15|174442|2023-04-28
20230428|AABVF|Aberdeen International Inc Ord|S|OTC|51|30051||31820|1.00||-99.83|-30000|2023-04-28
20230428|AAC|Ares Acquisition Corporation|A|NYSE|9241|16075||199194|1.00||-42.51|-6834|2023-04-28
20230428|AACAF|AAC Technologies Holdings Inc|S|OTC|974317|886622||0|999.99||9.89|87695|2023-04-28
20230428|AACAY|AAC Technologies Holdings Inc|S|OTC|1385|3426||18480|1.00||-59.57|-2041|2023-04-28
20230428|AACG|ATA Creativity Global American|R|NNM|4202|12161||6606|1.00||-65.45|-7959|2023-04-28
20230428|AACI|Armada Acquisition Corp. I Com|R|NNM|1806|1766||405|4.46||2.27|40|2023-04-28
20230428|AACIW|Armada Acquisition Corp. I War|R|NNM|1025|921||2411|1.00||11.29|104|2023-04-28
20230428|AACTF|AURORA SOLAR TECHNOLOGIES INC|S|OTC|5|5||14931|1.00||0.00|0|2023-04-28
20230428|AACTU|Ares Acquisition Corporation I|A|NYSE|98635|0||3614433|1.00||100.00|98635|2023-04-28
20230428|AACWS|Ares Acquisition Corporation R|A|NYSE|5832|7038||13466|1.00||-17.14|-1206|2023-04-28
20230428|AADI|Aadi Bioscience, Inc. Common S|R|SC|1103102|1132076||95276|11.58||-2.56|-28974|2023-04-28
20230428|AADR|AdvisorShares Dorsey Wright AD|R|NNM|33193|6474||4848|6.85||412.71|26719|2023-04-28
20230428|AAFRF|Airtel Africa Plc Ordinary Sha|S|OTC|392|2641||8129|1.00||-85.16|-2249|2023-04-28
