accountingYearMonthNumber|symbolCode|issueName|issuerServicesGroupExchangeCode|marketClassCode|currentShortPositionQuantity|previousShortPositionQuantity|stockSplitFlag|averageDailyVolumeQuantity|daysToCoverQuantity|revisionFlag|changePercent|changePreviousNumber|settlementDate
20240830|A|Agilent Technologies Inc.|A|NYSE|3160001|2855618||1550973|2.04||10.66|304383|2024-08-30
20240830|AA|Alcoa Corporation|A|NYSE|11370782|13010958||4758982|2.39||-12.61|-1640176|2024-08-30
20240830|AAA|Alternative Access First Prior|E|ARCA|25705|25920||6139|4.19||-0.83|-215|2024-08-30
20240830|AAALY|Aareal Bank AG Unsponsored Ame|S|OTC|2|2||0|999.99||0.00|0|2024-08-30
20240830|AAAU|Goldman Sachs Physical Gold ET|H|BZX|741002|749049||1908691|1.00||-1.07|-8047|2024-08-30
20240830|AABB|Asia Broadband Inc Common Stoc|S|OTC|1315576|135611||85448752|1.00||870.11|1179965|2024-08-30
20240830|AABKF|AAREAL BANK AG NAMENS AKTIEN O|S|OTC|15|15||0|999.99||0.00|0|2024-08-30
20240830|AABVF|Aberdeen International Inc Ord|S|OTC|401|401||21818|1.00||0.00|0|2024-08-30
20240830|AACAF|AAC Technologies Holdings Inc|S|OTC|916168|1130168||127|999.99||-18.94|-214000|2024-08-30
20240830|AACAY|AAC Technologies Holdings Inc|S|OTC|2714|3235||4700|1.00||-16.11|-521|2024-08-30
20240830|AACG|ATA Creativity Global American|R|NNM|1291|2470||45023|1.00||-47.73|-1179|2024-08-30
20240830|AACT|Ares Acquisition Corporation I|A|NYSE|109865|186826||447577|1.00||-41.19|-76961|2024-08-30
20240830|AACTU|Ares Acquisition Corporation I|A|NYSE|3981|4298||69121|1.00||-7.38|-317|2024-08-30
20240830|AACTWS|Ares Acquisition Corporation I|A|NYSE|2225|0||64017|1.00||100.00|2225|2024-08-30
20240830|AADI|Aadi Bioscience, Inc. Common S|R|SC|320874|302626||655316|1.00||6.03|18248|2024-08-30
20240830|AAFRF|Airtel Africa Plc Ordinary Sha|S|OTC|94218|104155||1411|66.77||-9.54|-9937|2024-08-30
20240830|AAGFF|Aftermath Silver Ltd Ordinary|S|OTC|5489|14202||573538|1.00||-61.35|-8713|2024-08-30
20240830|AAGIY|AIA Group, Ltd. Sponsored Amer|S|OTC|129213|128501||868929|1.00||0.55|712|2024-08-30
20240830|AAGR|African Agriculture Holdings I|R|NNM|131721|144286||288785|1.00||-8.71|-12565|2024-08-30
20240830|AAGRW|African Agriculture Holdings I|R|NNM|36|36||38485|1.00||0.00|0|2024-08-30
20240830|AAGRY|Astra Agro Lestari TBK PT Unsp|S|OTC|607|607||0|999.99||0.00|0|2024-08-30
20240830|AAHIF|Asahi Co Ltd Osaka Ordinary Sh|S|OTC|63|15763||273|1.00||-99.60|-15700|2024-08-30
20240830|AAIGF|AIA Group, Ltd. Ordinary Share|S|OTC|3514593|5411781||244419|14.38||-35.06|-1897188|2024-08-30
20240830|AAIRF|AMERICAN AIRES INC COM NEW (Ca|S|OTC|60962|54445||947337|1.00||11.97|6517|2024-08-30
20240830|AAL|American Airlines Group Inc. C|R|NNM|97032916|121642787||24505446|3.96||-20.23|-24609871|2024-08-30
20240830|AALBF|Aalberts Industries NV Ordinar|S|OTC|245113|301071||382|641.66||-18.59|-55958|2024-08-30
20240830|AAMAF|Atlas Mara Co Nvest Ltd. Ordin|S|OTC|53999|53999||0|999.99||0.00|0|2024-08-30
20240830|AAMC|Altisource Asset Mgmt Corp|B|AMEX|24786|11493||43599|1.00||115.66|13293|2024-08-30
20240830|AAME|Atlantic American Corporation|R|NNM|41389|5599||4427|9.35||639.22|35790|2024-08-30
20240830|AAMTF|Armada Mercantile Ltd Ordinary|S|OTC|1107|1107||91|12.16||0.00|0|2024-08-30
20240830|AAMU|AA Mission Acquisition Corp. U|A|NYSE|6831|7462||145238|1.00||-8.46|-631|2024-08-30
20240830|AAN|The Aaron's Company, Inc.|A|NYSE|3502186|2076861||553865|6.32||68.63|1425325|2024-08-30
20240830|AANNF|Aroundtown SA Ordinary Shares|S|OTC|11224716|11866069||1517|999.99||-5.40|-641353|2024-08-30
20240830|AAOI|Applied Optoelectronics, Inc.|R|NNM|11139156|10390433||2073853|5.37||7.21|748723|2024-08-30
20240830|AAON|AAON, Inc. Common Stock|R|NNM|3547960|3435197||287490|12.34||3.28|112763|2024-08-30
20240830|AAP|ADVANCE AUTO PARTS INC|A|NYSE|9433650|7419776||3717534|2.54||27.14|2013874|2024-08-30
20240830|AAPB|GraniteShares ETF Trust Granit|R|NNM|106309|30362||109066|1.00||250.14|75947|2024-08-30
20240830|AAPD|Direxion Shares ETF Trust Dire|R|NNM|103849|135471||239425|1.00||-23.34|-31622|2024-08-30
20240830|AAPJ|AAP, Inc. Common Stock|S|OTC|922508|50000||292844508|1.00||1745.02|872508|2024-08-30
20240830|AAPL|Apple Inc. Common Stock|R|NNM|135042504|121598771||39938413|3.38||11.06|13443733|2024-08-30
20240830|AAPR|Innovator Equity Defined Prote|H|BZX|9653|10907||2766|3.49||-11.50|-1254|2024-08-30
20240830|AAPU|Direxion Shares ETF Trust Dire|R|NNM|398169|548388||650139|1.00||-27.39|-150219|2024-08-30
20240830|AAPX|T-Rex 2X Long Apple Daily Targ|H|BZX|7653|1402||18248|1.00||445.86|6251|2024-08-30
20240830|AAPY|Kurv Yield Premium Strategy Ap|H|BZX|1954|2206||974|2.01||-11.42|-252|2024-08-30
20240830|AARTY|AIRTEL AFRICA PLC American Dep|S|OTC|77|77||0|999.99||0.00|0|2024-08-30
20240830|AASP|Global Acquisitions Corporatio|S|OTC|109|109||3272|1.00||0.00|0|2024-08-30
20240830|AASZF|ATLANTIC SAPPHIRE Common Share|S|OTC|48060|1||77991|1.00||4805900.00|48059|2024-08-30
20240830|AAT|AMERICAN ASSETS TRUST, INC.|A|NYSE|1062886|1066227||211348|5.03||-0.31|-3341|2024-08-30
20240830|AATC|Autoscope Technologies Corpora|S|OTC|134|1002||25095|1.00||-86.63|-868|2024-08-30
20240830|AAUAF|ALMADEN MINERALS LTD COM (Cana|S|OTC|260058|262508||159434|1.63||-0.93|-2450|2024-08-30
