accountingYearMonthNumber|symbolCode|issueName|issuerServicesGroupExchangeCode|marketClassCode|currentShortPositionQuantity|previousShortPositionQuantity|stockSplitFlag|averageDailyVolumeQuantity|daysToCoverQuantity|revisionFlag|changePercent|changePreviousNumber|settlementDate
20210730|A|Agilent Technologies Inc.|A|NYSE|3344717|2571122||2043818|1.64||30.09|773595|2021-07-30
20210730|AA|Alcoa Corporation|A|NYSE|12014472|11429490||9369241|1.28|R|5.12|584982|2021-07-30
20210730|AAA|AAF First Priority CLO Bond ET|E|ARCA|6424|4636||964|6.66||38.57|1788|2021-07-30
20210730|AAALF|Aareal Bank AG AKT|S|OTC|384993|363666||0|999.99||5.86|21327|2021-07-30
20210730|AAALY|Aareal Bank AG Unsponsored Ame|S|OTC|3|3||0|999.99||0.00|0|2021-07-30
20210730|AAAU|Goldman Sachs Physical Gold ET|E|ARCA|340461|446313||286377|1.19||-23.72|-105852|2021-07-30
20210730|AABB|Asia Broadband Inc Common Stoc|S|OTC|73663|38287||28846079|1.00||92.40|35376|2021-07-30
20210730|AABVF|Aberdeen International Inc Ord|S|OTC|7708|10173||4097|1.88||-24.23|-2465|2021-07-30
20210730|AAC|Ares Acquisition Corporation|A|NYSE|69421|66353||70944|1.00||4.62|3068|2021-07-30
20210730|AACAF|AAC Technologies Holdings Inc|S|OTC|1390778|2929893||314|999.99||-52.53|-1539115|2021-07-30
20210730|AACAY|AAC Technologies Holdings Inc|S|OTC|63545|4404||138201|1.00||1342.89|59141|2021-07-30
20210730|AACG|ATA Creativity Global American|R|NNM|83848|29861||880293|1.00||180.79|53987|2021-07-30
20210730|AACU|Ares Acquisition Corporation U|A|NYSE|111982|198159||71489|1.57||-43.49|-86177|2021-07-30
20210730|AACWS|Ares Acquisition Corporation R|A|NYSE|14547|20234||29260|1.00||-28.11|-5687|2021-07-30
20210730|AADR|AdvisorShares Dorsey Wright AD|R|NNM|59|364||3093|1.00||-83.79|-305|2021-07-30
20210730|AAGFF|Aftermath Silver Ltd Ordinary|S|OTC|11178|94||499850|1.00||11791.49|11084|2021-07-30
20210730|AAGH|America Great Health Common St|S|OTC|95|12297||106012|1.00||-99.23|-12202|2021-07-30
20210730|AAGIY|AIA Group, Ltd. Sponsored Amer|S|OTC|384680|567344||632596|1.00||-32.20|-182664|2021-07-30
