accountingYearMonthNumber|symbolCode|issueName|issuerServicesGroupExchangeCode|marketClassCode|currentShortPositionQuantity|previousShortPositionQuantity|stockSplitFlag|averageDailyVolumeQuantity|daysToCoverQuantity|revisionFlag|changePercent|changePreviousNumber|settlementDate
20220429|A|Agilent Technologies Inc.|A|NYSE|5289050|5410662||2192590|2.41||-2.25|-121612|2022-04-29
20220429|AA|Alcoa Corporation|A|NYSE|8218041|8013473||9189224|1.00||2.55|204568|2022-04-29
20220429|AAA|AAF First Priority CLO Bond ET|E|ARCA|12763|13273||603|21.17||-3.84|-510|2022-04-29
20220429|AAALF|Aareal Bank AG AKT|S|OTC|2462|2762||0|999.99||-10.86|-300|2022-04-29
20220429|AAAU|Goldman Sachs Physical Gold ET|H|BZX|2426605|78776||1327405|1.83||2980.39|2347829|2022-04-29
20220429|AABB|Asia Broadband Inc Common Stoc|S|OTC|8237048|8125862||13789289|1.00||1.37|111186|2022-04-29
20220429|AABVF|Aberdeen International Inc Ord|S|OTC|251|551||11590|1.00||-54.45|-300|2022-04-29
20220429|AAC|Ares Acquisition Corporation|A|NYSE|49097|58601||188102|1.00||-16.22|-9504|2022-04-29
20220429|AACAF|AAC Technologies Holdings Inc|S|OTC|2843918|3694911||580|999.99||-23.03|-850993|2022-04-29
20220429|AACAY|AAC Technologies Holdings Inc|S|OTC|7834|104313||474050|1.00||-92.49|-96479|2022-04-29
20220429|AACG|ATA Creativity Global American|R|NNM|4434|18988||15660|1.00||-76.65|-14554|2022-04-29
20220429|AACI|Armada Acquisition Corp. I Com|R|NNM|7412|7506||3826|1.94||-1.25|-94|2022-04-29
20220429|AACIU|Armada Acquisition Corp. I Uni|R|NNM|446|446||147|3.03||0.00|0|2022-04-29
20220429|AACIW|Armada Acquisition Corp. I War|R|NNM|10475|5143||5481|1.91||103.67|5332|2022-04-29
20220429|AACTF|AURORA SOLAR TECHNOLOGIES INC|S|OTC|5707|4249||49279|1.00||34.31|1458|2022-04-29
20220429|AACWS|Ares Acquisition Corporation R|A|NYSE|4785|7500||36944|1.00||-36.20|-2715|2022-04-29
20220429|AADI|Aadi Bioscience, Inc. Common S|R|SC|513431|591301||85749|5.99||-13.17|-77870|2022-04-29
20220429|AADR|AdvisorShares Dorsey Wright AD|R|NNM|189|189||5910|1.00||0.00|0|2022-04-29
20220429|AAFRF|Airtel Africa Plc Ordinary Sha|S|OTC|2000|2000||55239|1.00||0.00|0|2022-04-29
20220429|AAGC|All American Gold Corp. Common|S|OTC|900000|0||17225867|1.00||100.00|900000|2022-04-29
20220429|AAGFF|Aftermath Silver Ltd Ordinary|S|OTC|242907|88460||353907|1.00||174.60|154447|2022-04-29
20220429|AAGH|America Great Health Common St|S|OTC|95|2130||489677|1.00||-95.54|-2035|2022-04-29
20220429|AAGIY|AIA Group, Ltd. Sponsored Amer|S|OTC|66436|117362||749303|1.00||-43.39|-50926|2022-04-29
20220429|AAHIF|Asahi Co Ltd Osaka Ordinary Sh|S|OTC|10300|10600||0|999.99||-2.83|-300|2022-04-29
20220429|AAIC|Arlington Asset Investment Cor|A|NYSE|220094|215201||104137|2.11||2.27|4893|2022-04-29
20220429|AAICPRC|Arlington Asset Investment Cor|A|NYSE|50|0||6969|1.00||100.00|50|2022-04-29
20220429|AAIGF|AIA Group, Ltd. Ordinary Share|S|OTC|705565|712501||54936|12.84||-0.97|-6936|2022-04-29
20220429|AAIN|Arlington Asset Investment Cor|A|NYSE|442|3265||1439|1.00||-86.46|-2823|2022-04-29
20220429|AAIRF|American Aires Inc. Common Sha|S|OTC|79857|0||497685|1.00||100.00|79857|2022-04-29
