accountingYearMonthNumber|symbolCode|issueName|issuerServicesGroupExchangeCode|marketClassCode|currentShortPositionQuantity|previousShortPositionQuantity|stockSplitFlag|averageDailyVolumeQuantity|daysToCoverQuantity|revisionFlag|changePercent|changePreviousNumber|settlementDate
20191213|A|Agilent Technologies Inc.|A|NYSE|5131416|5418151||1790844|2.87||-5.29|-286735|2019-12-13
20191213|AA|Alcoa Corporation|A|NYSE|8872250|8637022||3420965|2.59||2.72|235228|2019-12-13
20191213|AAALF|Aareal Bank AG AKT|S|OTC|81204|85979||0|999.99||-5.55|-4775|2019-12-13
20191213|AAAU|Perth Mint Physical Gold ETF (|E|ARCA|26164|39412||54033|1.00||-33.61|-13248|2019-12-13
20191213|AACAF|AAC Technologies Holdings Inc|S|OTC|14844022|14513641||46|999.99||2.28|330381|2019-12-13
20191213|AACAY|AAC Technologies Holdings Inc|S|OTC|11026|14719||65737|1.00||-25.09|-3693|2019-12-13
20191213|AACG|ATA Creativity Global American|R|NNM|26784|26050||6844|3.91||2.82|734|2019-12-13
20191213|AACH|AAC HLDGS INC Common Stock|S|OTC|1768060|1880863||94665|18.68||-6.00|-112803|2019-12-13
20191213|AACMZ|Asia Cement Corp Global Deposi|S|OTC|1|1||0|999.99||0.00|0|2019-12-13
20191213|AACTF|AURORA SOLAR TECHNOLOGIES INC|S|OTC|7211|7961||10811|1.00||-9.42|-750|2019-12-13
20191213|AADR|AdvisorShares Dorsey Wright AD|E|ARCA|3452|2946||6183|1.00||17.18|506|2019-12-13
20191213|AAGIY|AIA Group, Ltd. Sponsored Amer|S|OTC|158559|460107||346477|1.00||-65.54|-301548|2019-12-13
20191213|AAGRY|Astra Agro Lestari TBK PT Unsp|S|OTC|1|1||0|999.99||0.00|0|2019-12-13
20191213|AAHIF|Asahi Co Ltd Osaka Ordinary Sh|S|OTC|300|500||0|999.99||-40.00|-200|2019-12-13
20191213|AAIGF|AIA Group, Ltd. Ordinary Share|S|OTC|269717|745363||270400|1.00||-63.81|-475646|2019-12-13
20191213|AAL|American Airlines Group Inc. C|R|NNM|42017662|40625178||5759065|7.30||3.43|1392484|2019-12-13
20191213|AALBF|Aalberts Industries NV Ordinar|S|OTC|54284|54294||0|999.99||-0.02|-10|2019-12-13
20191213|AAMAF|Atlas Mara Co Nvest Ltd. Ordin|S|OTC|8065|7515||64098|1.00||7.32|550|2019-12-13
