accountingYearMonthNumber|symbolCode|issueName|issuerServicesGroupExchangeCode|marketClassCode|currentShortPositionQuantity|previousShortPositionQuantity|stockSplitFlag|averageDailyVolumeQuantity|daysToCoverQuantity|revisionFlag|changePercent|changePreviousNumber|settlementDate
20190628|A|Agilent Technologies Inc.|A|NYSE|4130628|3907231||1940590|2.13||5.72|223397|2019-06-28
20190628|AA|Alcoa Corporation|A|NYSE|5961889|5399466||2883609|2.07||10.42|562423|2019-06-28
20190628|AAALF|Aareal Bank AG AKT|S|OTC|85322|95622||0|999.99||-10.77|-10300|2019-06-28
20190628|AAAU|Perth Mint Physical Gold ETF (|E|ARCA|17437|258514||68198|1.00||-93.25|-241077|2019-06-28
20190628|AABA|Altaba Inc. Common Stock|R|NNM|15261342|26701577||6749863|2.26||-42.84|-11440235|2019-06-28
20190628|AABB|Asia Broadband Inc Common Stoc|S|OTC|27227|0||1555904|1.00||100.00|27227|2019-06-28
20190628|AAC|AAC Holdings, Inc.|A|NYSE|4529401|4836504||685981|6.60||-6.35|-307103|2019-06-28
20190628|AACAF|AAC Technologies Holdings Inc|S|OTC|12648232|10962688||9|999.99||15.38|1685544|2019-06-28
20190628|AACAY|AAC Technologies Holdings Inc|S|OTC|1129|18602||127534|1.00||-93.93|-17473|2019-06-28
20190628|AACMZ|Asia Cement Corp Global Deposi|S|OTC|1|1||0|999.99||0.00|0|2019-06-28
20190628|AADR|AdvisorShares Dorsey Wright AD|E|ARCA|1958|3558||5361|1.00||-44.97|-1600|2019-06-28
20190628|AAGIY|AIA Group, Ltd. Sponsored Amer|S|OTC|186490|206370||307337|1.00||-9.63|-19880|2019-06-28
20190628|AAHIF|Asahi Co Ltd Osaka Ordinary Sh|S|OTC|48500|32600||0|999.99||48.77|15900|2019-06-28
20190628|AAIGF|AIA Group, Ltd. Ordinary Share|S|OTC|1619067|1573454||24246|66.78||2.90|45613|2019-06-28
20190628|AAL|American Airlines Group Inc. C|R|NNM|22353620|22352186||5757533|3.88||0.01|1434|2019-06-28
20190628|AALBF|Aalberts Industries NV Ordinar|S|OTC|89646|87629||52|999.99||2.30|2017|2019-06-28
20190628|AAMAF|Atlas Mara Co Nvest Ltd. Ordin|S|OTC|4092|3213||8272|1.00||27.36|879|2019-06-28
20190628|AAMC|Altisource Asset Mgmt Corp|B|AMEX|26810|26450||5115|5.24||1.36|360|2019-06-28
20190628|AAME|Atlantic American Corporation|R|NNM|325|196||1605|1.00||65.82|129|2019-06-28
20190628|AAMMF|Almadex Minerals Ltd Ordinary|S|OTC|1806|5869||88719|1.00||-69.23|-4063|2019-06-28
20190628|AAN|Aaron's, Inc.|A|NYSE|3123633|3278757||928675|3.36||-4.73|-155124|2019-06-28
20190628|AANNF|Aroundtown SA Ordinary Shares|S|OTC|1385903|1104823||0|999.99||25.44|281080|2019-06-28
20190628|AAOI|Applied Optoelectronics, Inc.|R|NNM|8000811|8046992||802898|9.96||-0.57|-46181|2019-06-28
20190628|AAON|AAON, Inc. Common Stock|R|NNM|4571200|4496978||140582|32.52||1.65|74222|2019-06-28
20190628|AAP|ADVANCE AUTO PARTS INC|A|NYSE|3649913|3188056||1060812|3.44||14.49|461857|2019-06-28
20190628|AAPJ|AAP, Inc. Common Stock|S|OTC|165|165||13985|1.00||0.00|0|2019-06-28
20190628|AAPL|Apple Inc. Common Stock|R|NNM|43448528|47003511||24985287|1.74||-7.56|-3554983|2019-06-28
20190628|AASZF|Atlantic Sapphire AS Common Sh|S|OTC|8043|7451||724|11.11||7.95|592|2019-06-28
20190628|AAT|AMERICAN ASSETS TRUST, INC.|A|NYSE|917693|560150||988446|1.00||63.83|357543|2019-06-28
20190628|AATAF|Arata Corp Tokyo (Japan)|S|OTC|2559|1667||0|999.99||53.51|892|2019-06-28
20190628|AATDF|AA LTD Ordinary Shares (United|S|OTC|71103|66567||2021|35.18||6.81|4536|2019-06-28
20190628|AATRL|AMG Capital  Trust II 5.15% Co|S|OTC|23275|15295||13476|1.73||52.17|7980|2019-06-28
20190628|AAU|Almaden Minerals Ltd.|B|AMEX|1657839|1506538||214740|7.72||10.04|151301|2019-06-28
20190628|AAUKF|Anglo American plc Ordinary Sh|S|OTC|8215520|8201486||716|999.99||0.17|14034|2019-06-28
20190628|AAVVF|Advantage Oil & Gas Ltd Ordina|S|OTC|923376|810726||119473|7.73||13.89|112650|2019-06-28
20190628|AAVXF|Abivax SA Ordinary Shares (Fra|S|OTC|2027|475||617|3.29||326.74|1552|2019-06-28
20190628|AAWW|Atlas Air Worldwide Holdings N|R|NNM|1933824|1854438||278338|6.95||4.28|79386|2019-06-28
20190628|AAXJ|iShares MSCI All Country Asia|R|NNM|435905|419724||1140690|1.00||3.86|16181|2019-06-28
20190628|AAXN|Axon Enterprise, Inc. Common S|R|NNM|5384289|5548585||2218864|2.43||-2.96|-164296|2019-06-28
20190628|AB|AllianceBernstein Holding, L.P|A|NYSE|589340|499319||163949|3.59||18.03|90021|2019-06-28
20190628|ABAHF|Abacus Health Products Inc Com|S|OTC|7969|2556||2443|3.26||211.78|5413|2019-06-28
20190628|ABAKF|ABERDEEN ASIA-PACIFIC INCOME O|S|OTC|83|83||0|999.99||0.00|0|2019-06-28
20190628|ABB|ABB Ltd.|A|NYSE|3147765|2962405||1621137|1.94||6.26|185360|2019-06-28
20190628|ABBB|Auburn Bancorp, Inc. Common St|S|OTC|19|19||510|1.00||0.00|0|2019-06-28
20190628|ABBRF|Abraplata Resource Corp Ordina|S|OTC|106446|0||215224|1.00||100.00|106446|2019-06-28
20190628|ABBV|ABBVIE INC.|A|NYSE|28212850|19582875||21144688|1.33||44.07|8629975|2019-06-28
