accountingYearMonthNumber|symbolCode|issueName|issuerServicesGroupExchangeCode|marketClassCode|currentShortPositionQuantity|previousShortPositionQuantity|stockSplitFlag|averageDailyVolumeQuantity|daysToCoverQuantity|revisionFlag|changePercent|changePreviousNumber|settlementDate
20201113|A|Agilent Technologies Inc.|A|NYSE|3092340|3132384||1347465|2.29||-1.28|-40044|2020-11-13
20201113|AA|Alcoa Corporation|A|NYSE|9765144|10067753||4985684|1.96||-3.01|-302609|2020-11-13
20201113|AAA|AAF First Priority CLO Bond ET|E|ARCA|5940|6135||1651|3.60||-3.18|-195|2020-11-13
20201113|AAALF|Aareal Bank AG AKT|S|OTC|20629|18311||0|999.99||12.66|2318|2020-11-13
20201113|AAAU|Perth Mint Physical Gold ETF (|E|ARCA|186950|157545||724749|1.00||18.66|29405|2020-11-13
20201113|AABB|Asia Broadband Inc Common Stoc|S|OTC|22500|4499||14442459|1.00||400.11|18001|2020-11-13
20201113|AABVF|Aberdeen International Inc Ord|S|OTC|2039|3058||1128|1.81||-33.32|-1019|2020-11-13
20201113|AACAF|AAC Technologies Holdings Inc|S|OTC|18955795|18454404||145|999.99||2.72|501391|2020-11-13
20201113|AACAY|AAC Technologies Holdings Inc|S|OTC|8676|116||71131|1.00||7379.31|8560|2020-11-13
20201113|AACG|ATA Creativity Global American|R|NNM|4511|353||59565|1.00||1177.90|4158|2020-11-13
20201113|AACH|AAC HLDGS INC Common Stock|S|OTC|70802|70802||60955|1.16||0.00|0|2020-11-13
20201113|AACMZ|Asia Cement Corp Global Deposi|S|OTC|4965|1||0|999.99||496400.00|4964|2020-11-13
20201113|AACQ|Artius Acquisition Inc. Class|R|SC|22524|14226||150884|1.00||58.33|8298|2020-11-13
20201113|AACQU|Artius Acquisition Inc. Unit|R|SC|4557|5737||212371|1.00||-20.57|-1180|2020-11-13
20201113|AACQW|Artius Acquisition Inc Warrant|R|SC|10912|86343||35069|1.00||-87.36|-75431|2020-11-13
20201113|AACTF|AURORA SOLAR TECHNOLOGIES INC|S|OTC|31080|475||219137|1.00||6443.16|30605|2020-11-13
20201113|AADR|AdvisorShares Dorsey Wright AD|E|ARCA|216|135||5589|1.00||60.00|81|2020-11-13
20201113|AAGFF|Aftermath Silver Ltd Ordinary|S|OTC|44007|19390||575157|1.00||126.96|24617|2020-11-13
20201113|AAGIY|AIA Group, Ltd. Sponsored Amer|S|OTC|533548|472436||394782|1.35||12.94|61112|2020-11-13
20201113|AAHIF|Asahi Co Ltd Osaka Ordinary Sh|S|OTC|30800|35200||0|999.99||-12.50|-4400|2020-11-13
20201113|AAIC|Arlington Asset Investment Cor|A|NYSE|749339|744738||241680|3.10||0.62|4601|2020-11-13
20201113|AAICPRB|Arlington Asset Investment Cor|A|NYSE|20|348||2521|1.00||-94.25|-328|2020-11-13
20201113|AAICPRC|Arlington Asset Investment Cor|A|NYSE|593|4406||5024|1.00||-86.54|-3813|2020-11-13
20201113|AAIGF|AIA Group, Ltd. Ordinary Share|S|OTC|2413842|3000753||37143|64.99||-19.56|-586911|2020-11-13
20201113|AAL|American Airlines Group Inc. C|R|NNM|141817804|172765872||73589497|1.93||-17.91|-30948068|2020-11-13
20201113|AALBF|Aalberts Industries NV Ordinar|S|OTC|19819|12910||630|31.46||53.52|6909|2020-11-13
20201113|AAMAF|Atlas Mara Co Nvest Ltd. Ordin|S|OTC|14901|6001||218852|1.00||148.31|8900|2020-11-13
20201113|AAMC|Altisource Asset Mgmt Corp|B|AMEX|5044|5206||3813|1.32||-3.11|-162|2020-11-13
20201113|AAME|Atlantic American Corporation|R|NNM|5858|7428||2535|2.31||-21.14|-1570|2020-11-13
