accountingYearMonthNumber|symbolCode|issueName|issuerServicesGroupExchangeCode|marketClassCode|currentShortPositionQuantity|previousShortPositionQuantity|stockSplitFlag|averageDailyVolumeQuantity|daysToCoverQuantity|revisionFlag|changePercent|changePreviousNumber|settlementDate
20190614|A|Agilent Technologies Inc.|A|NYSE|3907231|4945756||2153092|1.81||-21.00|-1038525|2019-06-14
20190614|AA|Alcoa Corporation|A|NYSE|5399466|7067833||3658871|1.48|R|-23.61|-1668367|2019-06-14
20190614|AAALF|Aareal Bank AG AKT|S|OTC|95622|98843||0|999.99||-3.26|-3221|2019-06-14
20190614|AAAU|Perth Mint Physical Gold ETF (|E|ARCA|258514|37023||82755|3.12||598.25|221491|2019-06-14
20190614|AABA|Altaba Inc. Common Stock|R|NNM|26701577|29035720||9692116|2.75||-8.04|-2334143|2019-06-14
20190614|AABVF|Aberdeen International Inc Ord|S|OTC|10430|10430||3814|2.73||0.00|0|2019-06-14
20190614|AAC|AAC Holdings, Inc.|A|NYSE|4836504|4915947||535781|9.03|R|-1.62|-79443|2019-06-14
20190614|AACAF|AAC Technologies Holdings Inc|S|OTC|10962688|11036401||466|999.99||-0.67|-73713|2019-06-14
20190614|AACAY|AAC Technologies Holdings Inc|S|OTC|18602|4813||279790|1.00||286.49|13789|2019-06-14
20190614|AACMZ|Asia Cement Corp Global Deposi|S|OTC|1|1||0|999.99||0.00|0|2019-06-14
20190614|AACTF|AURORA SOLAR TECHNOLOGIES INC|S|OTC|500|500||0|999.99||0.00|0|2019-06-14
20190614|AADR|AdvisorShares Dorsey Wright AD|E|ARCA|3558|735||8543|1.00||384.08|2823|2019-06-14
20190614|AAGH|America Great Health Common St|S|OTC|7569|0||51787|1.00||100.00|7569|2019-06-14
20190614|AAGIY|AIA Group, Ltd. Sponsored Amer|S|OTC|206370|92898||293295|1.00||122.15|113472|2019-06-14
20190614|AAHIF|Asahi Co Ltd Osaka Ordinary Sh|S|OTC|32600|24600||0|999.99||32.52|8000|2019-06-14
20190614|AAIGF|AIA Group, Ltd. Ordinary Share|S|OTC|1573454|1552923||59697|26.36||1.32|20531|2019-06-14
20190614|AAIIQ|Alabama Aircraft Industries, I|S|OTC|711|0||6005|1.00||100.00|711|2019-06-14
